Fecha de compilacion: 18/11/2024 01:37:32 p. m.
Archivo: prueba.cpp
using = Identificador
Constructor Lenguaje
System = Identificador
; = FinSentencia
using = Identificador
System = Identificador
. = Caracter
Collections = Identificador
. = Caracter
Generic = Identificador
; = FinSentencia
using = Identificador
System = Identificador
. = Caracter
Linq = Identificador
; = FinSentencia
using = Identificador
System = Identificador
. = Caracter
Threading = Identificador
. = Caracter
Tasks = Identificador
; = FinSentencia
static = Identificador
void = Identificador
Main = Identificador
( = Caracter
string = Identificador
[ = Caracter
] = Caracter
args = Identificador
) = Caracter
{ = InicioBloque
int = TipoDato
a = Identificador
; = FinSentencia
int = TipoDato
b = Identificador
; = FinSentencia
a = Identificador
= = Asignacion
0 = Numero
; = FinSentencia
if = PalabraReservada
( = Caracter
1 = Numero
== = OperadorRelacional
2 = Numero
) = Caracter
{ = InicioBloque
do = PalabraReservada
{ = InicioBloque
Console = Identificador
. = Caracter
WriteLine = Identificador
( = Caracter
"Hola" = Cadena
) = Caracter
; = FinSentencia
} = FinBloque
while = PalabraReservada
( = Caracter
a = Identificador
< = OperadorRelacional
10 = Numero
) = Caracter
; = FinSentencia
a = Identificador
= = Asignacion
10 = Numero
; = FinSentencia
if = PalabraReservada
( = Caracter
1 = Numero
== = OperadorRelacional
2 = Numero
) = Caracter
a = Identificador
= = Asignacion
20 = Numero
; = FinSentencia
else = PalabraReservada
a = Identificador
= = Asignacion
30 = Numero
; = FinSentencia
} = FinBloque
else = PalabraReservada
{ = InicioBloque
do = PalabraReservada
{ = InicioBloque
Console = Identificador
. = Caracter
Write = Identificador
( = Caracter
"." = Cadena
) = Caracter
; = FinSentencia
} = FinBloque
while = PalabraReservada
( = Caracter
a = Identificador
< = OperadorRelacional
5 = Numero
) = Caracter
; = FinSentencia
a = Identificador
= = Asignacion
40 = Numero
; = FinSentencia
for = PalabraReservada
( = Caracter
a = Identificador
= = Asignacion
0 = Numero
; = FinSentencia
a = Identificador
< = OperadorRelacional
10 = Numero
; = FinSentencia
a = Identificador
+= = IncrementoTermino
1 = Numero
) = Caracter
{ = InicioBloque
} = FinBloque
} = FinBloque
} = FinBloque
Numero de lineas: 38
